condition,symptom_list,symptom_text,question,body_system,severity,keywords,synonyms,icd10_codes,embedding_text
Anemia of Inflammation/Chronic Disease,"fatigue, weakness, pallor, shortness of breath, dizziness, headache, poor concentration","Anemia of inflammation and chronic disease is usually mild, causing fatigue, weakness, pallor, shortness of breath, dizziness, headache, and poor concentration.","What are the symptoms of Anemia of Inflammation and Chronic Disease?",Hematology,Mild,"anemia chronic disease inflammation normocytic hepcidin","anemia of chronic disorders, ACD, inflammatory anemia",D63.8,"Condition: Anemia of Chronic Disease
Body System: Hematology
Severity: Mild
Symptoms: fatigue, weakness, pallor, dyspnea, dizziness
Keywords: normocytic anemia, hepcidin, chronic inflammation"
Type 2 Diabetes,"increased thirst, frequent urination, fatigue, blurred vision, slow-healing sores, tingling in hands/feet, recurrent infections, unexplained weight loss sometimes early","Type 2 diabetes may present with mild symptoms such as increased thirst, frequent urination, fatigue, blurred vision, slow-healing sores, tingling in extremities, recurrent infections, and sometimes unexplained weight loss.","What are the symptoms of Type 2 Diabetes?",Endocrine,Mild,"type 2 diabetes mellitus hyperglycemia insulin resistance polydipsia polyuria","adult-onset diabetes, non‑insulin‑dependent diabetes mellitus (NIDDM)",E11.9,"Condition: Type 2 Diabetes Mellitus
Body System: Endocrine
Severity: Mild (initial)
Symptoms: polyuria, polydipsia, fatigue, blurred vision, slow‑healing wounds, neuropathic tingling
Keywords: insulin resistance, hyperglycemia, metabolic syndrome"
Diabetic Nephropathy,"edema, swelling, foamy urine, hypertension, fatigue, proteinuria, progressive renal impairment","Diabetic kidney disease is often asymptomatic early, progressing to edema, swelling, foamy urine, hypertension, fatigue, and proteinuria.","What are the symptoms of Diabetic Nephropathy?",Renal,Severe,"diabetic kidney disease nephropathy diabetes microalbuminuria proteinuria CKD","diabetic glomerulosclerosis, Kimmelstiel‑Wilson disease",E11.21,"Condition: Diabetic Nephropathy
Body System: Renal
Severity: Severe
Symptoms: edema, foamy urine, hypertension, fatigue, proteinuria
Keywords: diabetic kidney disease, microalbuminuria, CKD, glomerulosclerosis"
Diabetic Neuropathy,"numbness, tingling, pain, burning sensation, muscle weakness, loss of reflexes, foot ulcers, autonomic symptoms (dizziness, bladder issues)","Diabetic neuropathy often presents with numbness, tingling, pain, burning sensation, muscle weakness, loss of reflexes, and can lead to foot ulcers; autonomic neuropathy may cause dizziness and bladder dysfunction.","What are the symptoms of Diabetic Neuropathy?",Neurology,Moderate,"diabetic neuropathy peripheral nerve damage sensorimotor autonomic neuropathy","diabetic peripheral neuropathy, diabetic autonomic neuropathy",E11.40,"Condition: Diabetic Neuropathy
Body System: Neurology
Severity: Moderate
Symptoms: numbness, tingling, burning pain, muscle weakness, loss of reflexes, autonomic dysfunction
Keywords: peripheral neuropathy, sensorimotor, diabetes complications"
Hypoglycemia,"hunger, shakiness, nervousness, sweating, dizziness, light‑headedness, sleepiness, confusion, difficulty speaking, anxiety, weakness, palpitations, blurred vision","Hypoglycemia manifests with hunger, shakiness, nervousness, sweating, dizziness, confusion, difficulty speaking, anxiety, weakness, palpitations, and blurred vision.","What are the symptoms of Hypoglycemia?",Endocrine,Moderate,"hypoglycemia low blood sugar insulin reaction diabetic neuroglycopenic","low blood glucose, insulin shock, glucose deficiency",E16.2,"Condition: Hypoglycemia
Body System: Endocrine
Severity: Moderate (can be severe)
Symptoms: hunger, sweating, tremor, anxiety, confusion, slurred speech, weakness, palpitations
Keywords: low blood glucose, insulin reaction, neuroglycopenia"
Insulin Resistance / Prediabetes,"often asymptomatic, acanthosis nigricans, skin tags, fatigue, increased waist circumference","Insulin resistance and prediabetes are usually asymptomatic; some individuals may develop acanthosis nigricans, skin tags, and fatigue.","What are the symptoms of Insulin Resistance and Prediabetes?",Endocrine,Mild,"insulin resistance prediabetes metabolic syndrome acanthosis nigricans","impaired glucose tolerance, IGT, impaired fasting glucose",R73.03,"Condition: Insulin Resistance / Prediabetes
Body System: Endocrine
Severity: Mild
Symptoms: often asymptomatic, acanthosis nigricans, skin tags, central obesity
Keywords: metabolic syndrome, impaired glucose tolerance, insulin sensitivity"
Diabetic Retinopathy,"blurry or double vision, rings or flashing lights, floaters, vision loss, dark spots","Diabetic retinopathy may initially be asymptomatic; later symptoms include blurry or double vision, rings or flashing lights, floaters, and vision loss.","What are the symptoms of Diabetic Retinopathy?",Ophthalmology,Severe,"diabetic retinopathy diabetes eye disease vision non‑proliferative proliferative","diabetic eye disease, retinal microangiopathy",E11.319,"Condition: Diabetic Retinopathy
Body System: Ophthalmology
Severity: Severe
Symptoms: blurred vision, floaters, flashing lights, vision loss
Keywords: retinal microangiopathy, non‑proliferative, proliferative, laser photocoagulation"
Diabetic Cardiovascular Disease,"chest pain or discomfort, arm/back/jaw/neck pain, indigestion, shortness of breath, sweating, nausea, palpitations","Diabetic cardiovascular disease may present with chest pain, discomfort radiating to arms, back, jaw, or neck, shortness of breath, sweating, nausea, and palpitations.","What are the symptoms of Diabetic Cardiovascular Disease?",Cardiovascular,Severe,"diabetes heart disease myocardial infarction angina cardiovascular autonomic neuropathy","diabetic heart disease, coronary artery disease in diabetes",E11.59,"Condition: Diabetic Cardiovascular Disease
Body System: Cardiovascular
Severity: Severe
Symptoms: chest pain, shortness of breath, sweating, nausea, palpitations
Keywords: coronary artery disease, myocardial infarction, diabetes complications"
Diabetes Mellitus (Type 1 and Type 2),"extreme thirst, frequent urination, extreme hunger, fatigue, unexplained weight loss, slow‑healing sores, blurred vision, recurrent infections","Diabetes mellitus type 1 and type 2 commonly present with extreme thirst, frequent urination, extreme hunger, fatigue, unexplained weight loss, slow‑healing sores, blurred vision, and recurrent infections.","What are the symptoms of Diabetes Mellitus?",Endocrine,Moderate,"diabetes mellitus hyperglycemia type 1 type 2 polydipsia polyuria","diabetes, sugar diabetes",E10.9/E11.9,"Condition: Diabetes Mellitus
Body System: Endocrine
Severity: Moderate
Symptoms: polydipsia, polyuria, polyphagia, weight loss, fatigue, blurred vision, slow‑healing wounds
Keywords: hyperglycemia, insulin deficiency, type 1, type 2"
Abdominal Adhesions,"often asymptomatic, chronic abdominal pain, bloating, altered bowel habits","Abdominal adhesions are often asymptomatic; when present, chronic abdominal pain is the most common symptom, sometimes with bloating and altered bowel habits.","What are the symptoms of Abdominal Adhesions?",Gastrointestinal,Mild,"abdominal adhesions scar tissue pain obstruction","peritoneal adhesions, post‑surgical adhesions",K66.0,"Condition: Abdominal Adhesions
Body System: Gastrointestinal
Severity: Mild
Symptoms: chronic abdominal pain, bloating, altered bowel habits
Keywords: scar tissue, post‑surgical, peritoneal adhesions"
Intestinal Obstruction,"severe abdominal pain, vomiting, abdominal bloating, constipation, inability to pass gas, abdominal distension","Intestinal obstruction presents with severe crampy abdominal pain, vomiting, bloating, constipation, and inability to pass gas.","What are the symptoms of Intestinal Obstruction?",Gastrointestinal,Critical,"intestinal obstruction adhesion acute abdomen emergency","bowel obstruction, ileus",K56.69,"Condition: Intestinal Obstruction
Body System: Gastrointestinal
Severity: Critical
Symptoms: severe abdominal pain, vomiting, distension, obstipation
Keywords: bowel obstruction, emergency, acute abdomen"
Celiac Disease,"abdominal bloating, diarrhea, constipation, gas, nausea, weight loss, fatigue, dermatitis herpetiformis (itchy papulovesicular rash on extensors), iron‑deficiency anemia, osteoporosis","Celiac disease causes gastrointestinal symptoms (bloating, diarrhea, constipation, gas, nausea, weight loss) and extra‑intestinal manifestations such as fatigue, dermatitis herpetiformis, iron‑deficiency anemia, and osteoporosis.","What are the symptoms of Celiac Disease?",Gastrointestinal,Moderate,"celiac disease gluten enteropathy autoimmune malabsorption dermatitis herpetiformis","gluten‑sensitive enteropathy, celiac sprue, non‑tropical sprue",K90.0,"Condition: Celiac Disease
Body System: Gastrointestinal
Severity: Moderate
Symptoms: bloating, diarrhea, constipation, nausea, weight loss, fatigue, dermatitis herpetiformis, anemia, osteoporosis
Keywords: gluten, enteropathy, tissue transglutaminase, villous atrophy"
Dermatitis Herpetiformis,"intensely itchy, clustered papules and vesicles on extensor surfaces (elbows, knees, buttocks, back, scalp), burning sensation, associated with gluten sensitivity","Dermatitis herpetiformis presents as intensely itchy, symmetric clusters of papules and vesicles on the elbows, knees, buttocks, back, and scalp, often with a burning sensation; it is the skin manifestation of celiac disease.","What are the symptoms of Dermatitis Herpetiformis?",Dermatology,Moderate,"dermatitis herpetiformis celiac gluten skin rash IgA","Duhring's disease, gluten‑sensitive dermatosis",L13.0,"Condition: Dermatitis Herpetiformis
Body System: Dermatology
Severity: Moderate
Symptoms: intensely itchy papulovesicular rash on extensor surfaces, burning
Keywords: gluten‑sensitive skin disease, IgA deposition, celiac rash"
Chronic Diarrhea in Children,"cramping, abdominal pain, nausea, vomiting, fever, chills, dehydration, weight loss","Chronic diarrhea in children may present with cramping, abdominal pain, nausea, vomiting, fever, chills, dehydration, and weight loss.","What are the symptoms of Chronic Diarrhea in Children?",Gastrointestinal,Moderate,"chronic diarrhea pediatric gastroenteritis dehydration failure to thrive","persistent diarrhea, toddler diarrhea",K59.1,"Condition: Chronic Diarrhea in Children
Body System: Gastrointestinal
Severity: Moderate
Symptoms: abdominal pain, cramping, nausea, vomiting, fever, dehydration, weight loss
Keywords: pediatric diarrhea, malabsorption, infection"
Crohn's Disease,"diarrhea, abdominal cramping and pain (often RLQ), weight loss, fatigue, fever, reduced appetite, perianal disease, arthritis, eye inflammation","Crohn's disease commonly presents with diarrhea, right lower quadrant abdominal pain, weight loss, fatigue, fever, and may include perianal disease, arthritis, and eye inflammation.","What are the symptoms of Crohn's Disease?",Gastrointestinal,Severe,"crohn inflammatory bowel disease diarrhea abdominal pain fistula","regional enteritis, granulomatous ileocolitis",K50.90,"Condition: Crohn Disease
Body System: Gastrointestinal
Severity: Severe
Symptoms: diarrhea, abdominal pain (RLQ), weight loss, fatigue, fever, perianal disease
Keywords: inflammatory bowel disease, transmural inflammation, fistula"
Cyclic Vomiting Syndrome,"severe nausea, recurrent vomiting episodes lasting hours to days, retching, abdominal pain, headache, motion sensitivity, dehydration","Cyclic vomiting syndrome is characterized by severe nausea and recurrent, prolonged vomiting episodes, along with retching, abdominal pain, headache, motion sensitivity, and can lead to dehydration.","What are the symptoms of Cyclic Vomiting Syndrome?",Gastrointestinal,Moderate,"cyclic vomiting syndrome vomiting episodes nausea dehydration","CVS, abdominal migraine equivalent",G43.A0,"Condition: Cyclic Vomiting Syndrome
Body System: Gastrointestinal
Severity: Moderate
Symptoms: severe episodic vomiting, nausea, abdominal pain, headache, dehydration
Keywords: CVS, periodic vomiting, migraine variant"
Diverticulitis,"left lower abdominal pain (sudden), fever, nausea, change in bowel habits, bloating, possible palpable mass","Diverticulitis typically presents with sudden left lower abdominal pain, fever, nausea, and altered bowel habits.","What are the symptoms of Diverticulitis?",Gastrointestinal,Moderate,"diverticulitis colon diverticula infection left lower quadrant pain","acute diverticulitis, sigmoid diverticulitis",K57.92,"Condition: Diverticulitis
Body System: Gastrointestinal
Severity: Moderate (can be severe)
Symptoms: left lower quadrant pain, fever, nausea, altered bowel habits
Keywords: colonic diverticula, inflammation, microperforation"
Dumping Syndrome,"nausea, vomiting, abdominal pain, cramping, diarrhea, sweating, flushing, palpitations, late hypoglycemia","Dumping syndrome causes early symptoms like nausea, vomiting, abdominal pain, diarrhea, sweating, flushing, and late symptoms of hypoglycemia.","What are the symptoms of Dumping Syndrome?",Gastrointestinal,Moderate,"dumping syndrome gastric surgery rapid emptying early late","post‑gastrectomy dumping, rapid gastric emptying",K91.1,"Condition: Dumping Syndrome
Body System: Gastrointestinal
Severity: Moderate
Symptoms: nausea, vomiting, diarrhea, sweating, flushing, palpitations, hypoglycemia
Keywords: post‑surgical, rapid gastric emptying, vasomotor"
Foodborne Illnesses,"vomiting, diarrhea (may be bloody), abdominal pain, fever, chills, myalgia","Foodborne illnesses commonly present with vomiting, diarrhea (sometimes bloody), abdominal pain, fever, chills, and myalgia.","What are the symptoms of Foodborne Illnesses?",Gastrointestinal,Moderate,"foodborne illness gastroenteritis food poisoning infectious diarrhea","food poisoning, infectious diarrhea",A09,"Condition: Foodborne Illness
Body System: Gastrointestinal
Severity: Moderate
Symptoms: vomiting, diarrhea, abdominal pain, fever, chills
Keywords: food poisoning, gastroenteritis, bacterial/viral"
Gallstones,"often asymptomatic, right upper quadrant pain (biliary colic), nausea, vomiting, back pain between shoulder blades, fatty food intolerance","Gallstones are often asymptomatic; when symptomatic, they cause sudden right upper abdominal pain, nausea, vomiting, and pain radiating to the back, often triggered by fatty meals.","What are the symptoms of Gallstones?",Hepatobiliary,Moderate,"gallstones cholelithiasis biliary colic gallbladder cholecystitis","cholelithiasis, biliary calculi",K80.20,"Condition: Cholelithiasis (Gallstones)
Body System: Hepatobiliary
Severity: Moderate
Symptoms: biliary colic, right upper quadrant pain, nausea, vomiting, referred back pain
Keywords: gallbladder stones, cholecystitis risk"
Gas in the Digestive Tract,"burping, flatulence, bloating, abdominal pain or discomfort, distension","Excess gas in the digestive tract manifests as burping, flatulence, bloating, and abdominal discomfort; may be worsened by certain foods or aerophagia.","What are the symptoms of Gas in the Digestive Tract?",Gastrointestinal,Mild,"gas bloating flatulence belching aerophagia","flatulence, intestinal gas, meteorism",R14.0,"Condition: Excessive Intestinal Gas
Body System: Gastrointestinal
Severity: Mild
Symptoms: burping, flatulence, bloating, abdominal discomfort
Keywords: flatus, aerophagia, IBS, dietary"
Gastritis,"upper abdominal pain or discomfort, nausea, vomiting, bloating, loss of appetite, dyspepsia","Gastritis may be asymptomatic or cause upper abdominal pain, nausea, vomiting, bloating, and loss of appetite.","What are the symptoms of Gastritis?",Gastrointestinal,Mild,"gastritis stomach inflammation dyspepsia epigastric pain","acute gastritis, chronic gastritis, Helicobacter pylori gastritis",K29.70,"Condition: Gastritis
Body System: Gastrointestinal
Severity: Mild
Symptoms: epigastric pain, nausea, vomiting, bloating, dyspepsia
Keywords: Helicobacter pylori, NSAIDs, gastric inflammation"
Erosive Gastritis with Bleeding,"black tarry stools (melena), vomiting blood (hematemesis), shortness of breath, dizziness, fatigue, anemia","Erosive gastritis with bleeding can cause black tarry stools, hematemesis, shortness of breath, dizziness, and fatigue due to anemia.","What are the symptoms of Erosive Gastritis with Bleeding?",Gastrointestinal,Severe,"erosive gastritis bleeding melena hematemesis anemia","hemorrhagic gastritis, stress gastritis",K29.01,"Condition: Erosive Gastritis with Hemorrhage
Body System: Gastrointestinal
Severity: Severe
Symptoms: melena, hematemesis, dyspnea, dizziness, fatigue, anemia
Keywords: GI bleeding, stress ulcer, NSAID"
Gastroparesis,"nausea, early satiety, vomiting undigested food hours after meals, bloating, abdominal pain, heartburn, weight loss","Gastroparesis presents with nausea, early satiety, vomiting of undigested food hours after eating, bloating, abdominal pain, heartburn, and weight loss.","What are the symptoms of Gastroparesis?",Gastrointestinal,Moderate,"gastroparesis delayed gastric emptying nausea diabetes idiopathic","gastric stasis, delayed gastric emptying",K31.84,"Condition: Gastroparesis
Body System: Gastrointestinal
Severity: Moderate
Symptoms: nausea, early satiety, vomiting undigested food, bloating, weight loss
Keywords: gastric dysmotility, diabetic, post‑surgical"
Hemorrhoids,"bright red blood per rectum, anal itching, pain, prolapse, swelling, mucus discharge","Hemorrhoids typically cause bright red blood during bowel movements, anal itching, pain, and sometimes prolapse.","What are the symptoms of Hemorrhoids?",Colorectal,Mild,"hemorrhoids piles rectal bleeding anal","piles",K64.9,"Condition: Hemorrhoids
Body System: Colorectal
Severity: Mild
Symptoms: rectal bleeding, itching, pain, prolapse
Keywords: internal/external hemorrhoids, piles, anal cushion"
Indigestion (Dyspepsia),"early satiety, postprandial fullness, epigastric pain or burning, bloating, nausea, belching","Indigestion commonly causes early satiety, uncomfortable fullness after meals, epigastric burning or pain, bloating, nausea, and belching.","What are the symptoms of Indigestion?",Gastrointestinal,Mild,"dyspepsia indigestion epigastric pain fullness functional dyspepsia","functional dyspepsia, non‑ulcer dyspepsia",K30,"Condition: Dyspepsia (Indigestion)
Body System: Gastrointestinal
Severity: Mild
Symptoms: postprandial fullness, early satiety, epigastric pain/burning, bloating, nausea
Keywords: functional dyspepsia, H. pylori, Rome criteria"
Inguinal Hernia,"groin bulge, pain or discomfort in groin, sensation of heaviness, aching with strain or lifting","Inguinal hernia presents as a bulge in the groin region, associated with pain, discomfort, or a heavy sensation, aggravated by coughing or lifting.","What are the symptoms of Inguinal Hernia?",Gastrointestinal,Mild,"inguinal hernia groin bulge hernia repair direct indirect","groin hernia, scrotal hernia",K40.90,"Condition: Inguinal Hernia
Body System: Gastrointestinal
Severity: Mild (unless incarcerated)
Symptoms: groin bulge, pain, heaviness
Keywords: direct/indirect hernia, reducible, strangulation risk"
Intestinal Pseudo‑obstruction,"abdominal distension, abdominal pain, nausea, vomiting, constipation, diarrhea, bacterial overgrowth","Intestinal pseudo‑obstruction presents with abdominal distension, pain, nausea, vomiting, constipation, and sometimes diarrhea due to bacterial overgrowth.","What are the symptoms of Intestinal Pseudo‑obstruction?",Gastrointestinal,Severe,"pseudo‑obstruction intestinal dysmotility obstruction","Ogilvie syndrome (acute colonic pseudo‑obstruction), chronic intestinal pseudo‑obstruction",K59.8,"Condition: Intestinal Pseudo‑obstruction
Body System: Gastrointestinal
Severity: Severe
Symptoms: abdominal distension, pain, nausea, vomiting, constipation
Keywords: dysmotility, Ogilvie, neuropathic"
Irritable Bowel Syndrome (IBS) in Children,"abdominal pain or discomfort relieved by defecation, change in stool frequency, change in stool form (diarrhea/constipation), bloating, mucus in stool","IBS in children is characterized by abdominal pain associated with defecation, changes in bowel habits (diarrhea, constipation, or both), bloating, and sometimes mucus.","What are the symptoms of Irritable Bowel Syndrome in Children?",Gastrointestinal,Moderate,"irritable bowel syndrome IBS abdominal pain bowel habits","spastic colon, functional bowel disorder",K58.9,"Condition: Irritable Bowel Syndrome
Body System: Gastrointestinal
Severity: Moderate
Symptoms: abdominal pain relieved by defecation, change in stool frequency/form, bloating
Keywords: IBS, Rome criteria, functional gastrointestinal disorder"
Lactose Intolerance,"bloating, abdominal pain, diarrhea, gas, nausea, borborygmi","Lactose intolerance causes bloating, abdominal pain, diarrhea, gas, nausea, and borborygmi after consuming dairy products.","What are the symptoms of Lactose Intolerance?",Gastrointestinal,Mild,"lactose intolerance lactase deficiency dairy","lactase non‑persistence, milk intolerance",E73.9,"Condition: Lactose Intolerance
Body System: Gastrointestinal
Severity: Mild
Symptoms: bloating, diarrhea, gas, abdominal pain, nausea
Keywords: lactase deficiency, dairy, malabsorption"
Ménétrier's Disease,"upper middle abdominal pain, nausea, vomiting, weight loss, edema, protein‑losing enteropathy, hypoalbuminemia, fatigue","Ménétrier's disease typically presents with epigastric pain, nausea, vomiting, weight loss, and protein‑losing enteropathy causing edema and fatigue.","What are the symptoms of Ménétrier's Disease?",Gastrointestinal,Severe,"menetrier disease hypertrophic gastropathy protein‑losing hypoproteinemia","giant hypertrophic gastritis, protein‑losing gastropathy",K29.60,"Condition: Ménétrier Disease
Body System: Gastrointestinal
Severity: Severe
Symptoms: epigastric pain, nausea, vomiting, edema, weight loss, hypoalbuminemia
Keywords: hypertrophic gastropathy, protein‑losing, giant gastric folds"
Microscopic Colitis,"chronic watery nonbloody diarrhea, abdominal pain, weight loss, fatigue, urgency, fecal incontinence","Microscopic colitis primarily causes chronic, watery, nonbloody diarrhea, along with abdominal pain, weight loss, fatigue, urgency, and sometimes incontinence.","What are the symptoms of Microscopic Colitis?",Gastrointestinal,Moderate,"microscopic colitis collagenous lymphocytic diarrhea","collagenous colitis, lymphocytic colitis",K52.831,"Condition: Microscopic Colitis
Body System: Gastrointestinal
Severity: Moderate
Symptoms: chronic watery diarrhea, abdominal pain, weight loss, fatigue, urgency
Keywords: collagenous colitis, lymphocytic colitis, normal colonoscopy"
Proctitis,"tenesmus, bloody or mucoid bowel movements, rectal bleeding, mucus discharge, rectal pain, constipation","Proctitis commonly causes tenesmus, bloody or mucoid stools, rectal bleeding, mucus discharge, and rectal pain.","What are the symptoms of Proctitis?",Gastrointestinal,Moderate,"proctitis rectal inflammation tenesmus bleeding","rectal inflammation, radiation proctitis, ulcerative proctitis",K62.89,"Condition: Proctitis
Body System: Gastrointestinal
Severity: Moderate
Symptoms: tenesmus, rectal bleeding, mucus discharge, pain
Keywords: rectal inflammation, sexually transmitted infections, IBD"
